"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Craig Smith","NSH","R","52","642.85","718.59","548.31","56.72","541.07","413.22","56.70","381.62","313.79","54.88","27.09","23.83","53.20","343.08","281.52","54.93","136.86","111.1","55.19","14.43","15.75","47.80","7.10","92.41","0.995","205","239","162","55.86"
"","Dominik Simon","PIT","C","20","239.05","301.71","230.63","56.68","228.96","155.12","59.61","165.83","119.9","58.04","10.87","13.33","44.91","164.73","118.49","58.16","59.18","53.15","52.68","5.09","9.2","35.59","6.55","88.88","0.954","74","81","81","47.74"
"","Mark Streit","MTL","D","2","21.3","26.61","20.46","56.53","23.38","17.94","56.58","17.79","10.54","62.80","0","2.02","0.00","11.43","12.48","47.80","5.88","2.03","74.32","0","0.99","0.00","0.00","80.85","0.809","12","3","4","75.00"
"","Frank Vatrano","BOS","C","25","214","216.25","166.43","56.51","171.03","131.45","56.54","111.97","89.59","55.55","4.81","6.83","41.33","101.17","71.04","58.75","33.5","30.14","52.64","1.85","3.77","32.87","4.30","92.38","0.967","87","88","43","66.92"
"","Charlie McAvoy","BOS","D","48","876.51666666667","904.55","696.19","56.51","659.88","515.42","56.15","459.31","368.69","55.47","43.11","22.96","65.25","459.39","346.72","56.99","152.23","134.3","53.13","19.24","12.75","60.15","9.39","93.77","1.032","323","322","255","55.88"
"","Vinnie Hinostroza","CHI","L","24","273.35","356.9","274.74","56.50","250.15","209.35","54.44","183.57","153.42","54.47","14.18","14.7","49.10","172.08","146.34","54.04","62.33","62.93","49.76","5.05","5.25","49.03","7.72","90.42","0.981","112","93","95","54.11"
"","Derek Ryan","CAR","C","52","679.61666666667","745.78","575.29","56.45","557.18","438.95","55.93","383.18","304.35","55.73","25.33","39.7","38.95","373.98","267.39","58.31","159.04","91.11","63.58","19.16","13.72","58.28","6.61","86.95","0.936","267","204","159","62.68"
"","Richard Panik","CHI","R","37","434.71666666667","538.27","416.12","56.40","366.25","328.82","52.69","273.45","237.56","53.51","19.24","17.01","53.07","262.2","214.66","54.98","97.35","101.52","48.95","12.28","11.95","50.68","7.04","92.84","0.999","179","203","125","58.88"
"","Kevin Rooney","N.J","C","1","10.95","8.07","6.28","56.24","6.29","4.2","59.94","4.52","3.16","58.85","0","0","0.00","5.28","2.1","71.52","1.65","1.07","60.67","0","0","0.00","0.00","100.00","1.000","6","1","1","85.71"
"","Colin Miller","VGK","D","54","782.68333333333","821.41","640.49","56.19","600.02","486.37","55.23","415.04","352.54","54.07","34.86","33.46","51.02","390.03","305.94","56.04","128.74","115.55","52.70","17.94","18.73","48.93","8.40","90.51","0.989","328","259","200","62.12"
"","Noah Hanifin","CAR","D","54","849.95","946.59","738.38","56.18","707.39","571.82","55.30","505.47","403.76","55.59","36.47","38.73","48.50","464.97","345.8","57.35","200.16","150.53","57.08","27.26","17.34","61.12","7.22","90.41","0.976","325","273","185","63.73"
"","Joonas Donskoi","S.J","R","46","546.75","606.61","473.79","56.15","448.38","346.19","56.43","336.32","240.84","58.27","23.2","19.19","54.72","311.7","243.57","56.14","136.45","101.4","57.37","16.26","14.16","53.44","6.90","92.03","0.989","162","215","131","55.29"
"","Josh Archibald","PIT","R","3","26.85","24.61","19.28","56.06","18.28","11.78","60.81","16.35","8.53","65.73","1.02","1.06","48.94","11.5","7.15","61.67","7.01","2","77.80","0","1.07","0.00","6.23","87.54","0.938","7","13","8","46.67"
"","Justin Williams","CAR","R","54","738.2","825.2","650.4","55.92","595.22","498.66","54.41","396.62","363.55","52.18","28.42","28.62","49.83","396.87","316.7","55.62","159.18","115.86","57.87","21.25","12.58","62.82","7.17","92.13","0.993","276","250","201","57.86"
"","Richard Panik","ARI","R","11","152.61666666667","164.1","129.36","55.92","110.93","106.22","51.09","69.08","75.41","47.81","6.2","5.89","51.29","65.3","66.09","49.70","25.38","26.71","48.72","1.02","4.79","17.50","8.98","92.19","1.012","48","55","47","50.53"
"","Kevin Fiala","NSH","L","52","641.81666666667","727.95","574.43","55.89","541.79","422.39","56.19","377.91","302.97","55.50","28.93","19.75","59.43","356.66","294.12","54.80","143.45","106.53","57.38","22.15","12.81","63.36","7.66","93.48","1.011","211","236","149","58.61"
"","David Pastrnak","BOS","R","52","716.38333333333","763.29","604.7","55.80","536.3","475.4","53.01","385.31","349.77","52.42","41.49","18.11","69.62","391.99","301.54","56.52","143.37","128.8","52.68","17.37","7.99","68.49","10.77","94.82","1.056","315","280","183","63.25"
"","Austin Czarnik","BOS","C","9","83.116666666667","80.07","63.58","55.74","66.95","49.78","57.36","44.26","32.07","57.98","3.08","4.06","43.17","40.5","30.58","56.98","11.33","13.75","45.18","0.93","2.98","23.74","6.97","87.34","0.943","34","37","16","68.00"
"","Dominic Toninato","COL","C","18","133.63333333333","125.49","99.95","55.66","88.68","74.56","54.33","66.75","63.2","51.37","4.04","4.92","45.07","60.42","26.8","69.27","19.18","7.93","70.75","3.02","2.9","50.93","6.05","92.22","0.983","44","50","26","62.86"
"","Mikael Backlund","CGY","C","54","719.88333333333","817.38","651.34","55.65","601.04","509","54.15","419.77","356.79","54.06","24.04","31.94","42.94","366.34","304.49","54.61","125.27","101.42","55.26","15.86","17.9","46.98","5.73","91.05","0.968","213","262","281","43.12"
"","Jack Roslovic","WPG","C","12","121.7","116.68","93.42","55.53","90.66","68.23","57.06","62.2","46.26","57.35","4","5.65","41.46","61.07","35.06","63.53","19.35","12.87","60.05","2.06","4.59","30.94","6.43","87.79","0.942","35","31","41","46.05"
